Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
javascript,bytes,document,100,3,google-protobuf,3.21.4,1504,37385,155,38889,664893.617021,26748.696001,25714.212245,0,1.00,1,c4a54cdecc67,79,19
javascript,bytes,document,100,4,json-pack-msgpack,18.28.0,17078,16631,337,33709,58554.865909,60128.675365,29665.667923,0,1.00,1,c4a54cdecc67,80,0
javascript,bytes,document,100,4,bebop,3.2.3,20535,15036,547,35571,48697.345995,66507.049747,28112.788507,0,1.00,1,c4a54cdecc67,81,1
javascript,bytes,document,100,4,flatbuffers,24.12.23,71972,35330,416,107302,13894.292225,28304.557034,9319.490783,0,1.00,1,c4a54cdecc67,82,2
javascript,bytes,document,100,4,fast-json-stringify,6.4.0,12268,7468,448,19736,81512.879035,133904.659882,50668.828537,0,1.00,1,c4a54cdecc67,83,3
javascript,bytes,document,100,4,flexbuffers,24.12.23,182447,144531,579,326978,5481.043810,6918.930887,3058.309733,0,1.00,1,c4a54cdecc67,84,4
javascript,bytes,document,100,4,msgpackr,1.12.1,24430,21601,345,46031,40933.278756,46294.153048,21724.490018,0,1.00,1,c4a54cdecc67,85,5
javascript,bytes,document,100,4,simdjson-parse+JSON.stringify,0.9.2,6510,19578,448,26088,153609.831029,51077.740321,38331.800061,0,1.00,1,c4a54cdecc67,86,6
javascript,bytes,document,100,4,cbor,9.0.2,282197,230416,332,512613,3543.623781,4339.976391,1950.789387,0,1.00,1,c4a54cdecc67,87,7
javascript,bytes,document,100,4,v8-serializer,v8-13.6.233.17-node.48,14236,11586,403,25822,70244.450688,86311.065079,38726.667183,0,1.00,1,c4a54cdecc67,88,8
javascript,bytes,document,100,4,@msgpack/msgpack,3.1.3,41629,59247,325,100876,24021.715631,16878.491738,9913.160712,0,1.00,1,c4a54cdecc67,89,9
javascript,bytes,document,100,4,devalue,5.8.1,43709,18685,555,62394,22878.583358,53518.865400,16027.182101,0,1.00,1,c4a54cdecc67,90,10
javascript,bytes,document,100,4,protobuf-es,2.12.1,67637,60694,155,128331,14784.807132,16476.093189,7792.349471,0,1.00,1,c4a54cdecc67,91,11
javascript,bytes,document,100,4,bson,6.10.4,34309,31794,493,66103,29146.871083,31452.475310,15127.906449,0,1.00,1,c4a54cdecc67,92,12
javascript,bytes,document,100,4,avsc,5.7.9,32245,17541,114,49786,31012.560087,57009.292515,20085.967943,0,1.00,1,c4a54cdecc67,93,13
javascript,bytes,document,100,4,cbor-x,1.6.4,25527,37272,234,62799,39174.207702,26829.791801,15923.820443,0,1.00,1,c4a54cdecc67,94,14
javascript,bytes,document,100,4,bser,2.1.1,92754,90629,448,183383,10781.206201,11033.995741,5453.068169,0,1.00,1,c4a54cdecc67,95,15
javascript,bytes,document,100,4,JSON.stringify,node-24.15.0,5337,6973,448,12310,187371.182312,143410.296859,81234.768481,0,1.00,1,c4a54cdecc67,96,16
javascript,bytes,document,100,4,protobufjs,7.6.5,43575,159266,155,202841,22948.938612,6278.804013,4929.969779,0,1.00,1,c4a54cdecc67,97,17
javascript,bytes,document,100,4,google-protobuf,3.21.4,2813,38352,155,41165,355492.356914,26074.259491,24292.481477,0,1.00,1,c4a54cdecc67,98,18
javascript,bytes,document,100,4,sia,2.3.0,38515,29854,547,68369,25963.910165,33496.348898,14626.512016,0,1.00,1,c4a54cdecc67,99,19
javascript,bytes,document,100,5,json-pack-msgpack,18.28.0,25746,32480,337,58226,38840.985007,30788.177340,17174.458146,0,1.00,1,c4a54cdecc67,100,0
javascript,bytes,document,100,5,protobuf-es,2.12.1,64769,54298,155,119067,15439.484939,18416.884600,8398.632703,0,1.00,1,c4a54cdecc67,101,1
javascript,bytes,document,100,5,flexbuffers,24.12.23,208862,187099,579,395961,4787.850351,5344.764002,2525.501249,0,1.00,1,c4a54cdecc67,102,2
javascript,bytes,document,100,5,avsc,5.7.9,37571,24408,114,61979,26616.273189,40970.173714,16134.497168,0,1.00,1,c4a54cdecc67,103,3
javascript,bytes,document,100,5,bson,6.10.4,55185,32051,493,87236,18120.866177,31200.274562,11463.157412,0,1.00,1,c4a54cdecc67,104,4
javascript,bytes,document,100,5,google-protobuf,3.21.4,2003,36783,155,38786,499251.123315,27186.472012,25782.498840,0,1.00,1,c4a54cdecc67,105,5
javascript,bytes,document,100,5,msgpackr,1.12.1,22836,21301,345,44137,43790.506218,46946.152763,22656.727915,0,1.00,1,c4a54cdecc67,106,6
javascript,bytes,document,100,5,fast-json-stringify,6.4.0,16977,5299,448,22276,58903.222006,188714.851859,44891.362902,0,1.00,1,c4a54cdecc67,107,7
javascript,bytes,document,100,5,devalue,5.8.1,52114,15879,555,67993,19188.701692,62976.257951,14707.396350,0,1.00,1,c4a54cdecc67,108,8
javascript,bytes,document,100,5,v8-serializer,v8-13.6.233.17-node.48,14942,12326,403,27268,66925.445054,81129.320136,36673.023324,0,1.00,1,c4a54cdecc67,109,9
javascript,bytes,document,100,5,@msgpack/msgpack,3.1.3,31560,51876,325,83436,31685.678074,19276.736834,11985.234191,0,1.00,1,c4a54cdecc67,110,10
javascript,bytes,document,100,5,simdjson-parse+JSON.stringify,0.9.2,4573,24570,448,29143,218674.830527,40700.040700,34313.557286,0,1.00,1,c4a54cdecc67,111,11
