Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,SizeGzip,SizeZstd,NativeKind,StreamMode,RunOrder,SchedulePosition
python,bytes,document,100,4,mashumaro,3.22,4234,33249,448,37483,236183.278224,30076.092514,26678.761038,9821,1.00,1,c4a54cdecc67,229,235,dataclass,,64,0
python,bytes,document,100,4,serpyco-rs,1.21.0,2970,3806,448,6776,336700.336700,262743.037310,147579.693034,9789,1.00,1,c4a54cdecc67,229,235,dataclass,,65,1
python,bytes,document,100,4,cbor2,6.1.3,13738,6396,332,20134,72790.799243,156347.717323,49667.229562,3497,1.00,1,c4a54cdecc67,220,224,dict,,66,2
python,bytes,document,100,4,pickle,python-3.14.0,10343,6657,452,17000,96683.747462,150217.815833,58823.529412,6889,1.00,1,c4a54cdecc67,319,336,dataclass,,67,3
python,bytes,document,100,4,cloudpickle,3.1.2,27256,6242,452,33498,36689.169357,160205.062480,29852.528509,8946,1.00,1,c4a54cdecc67,319,336,dataclass,,68,4
python,bytes,document,100,4,pydantic,2.13.4,9487,17830,448,27317,105407.399599,56085.249579,36607.240912,5757,1.00,1,c4a54cdecc67,229,235,model,,69,5
python,bytes,document,100,4,rapidjson,1.23,6249,7096,448,13345,160025.604097,140924.464487,74934.432372,2663,1.00,1,c4a54cdecc67,229,235,dict,,70,6
python,bytes,document,100,4,orjson,3.11.9,1397,2542,448,3939,715819.613457,393391.030685,253871.541000,9821,1.00,1,c4a54cdecc67,229,235,dict,,71,7
python,bytes,document,100,4,dill,0.4.1,162352,13310,452,175662,6159.455997,75131.480090,5692.750851,14770,1.00,1,c4a54cdecc67,319,336,dataclass,,72,8
python,bytes,document,100,4,msgspec-msgpack,0.21.1,1770,2468,129,4238,564971.751412,405186.385737,235960.358660,1310,1.00,1,c4a54cdecc67,149,138,struct,,73,9
python,bytes,document,100,4,msgspec,0.21.1,1898,2450,192,4348,526870.389884,408163.265306,229990.800368,1406,1.00,1,c4a54cdecc67,165,163,struct,,74,10
python,bytes,document,100,4,msgpack,1.2.1,4401,5127,325,9528,227221.086117,195045.835771,104953.820319,1028,1.00,1,c4a54cdecc67,228,232,dict,,75,11
python,bytes,document,100,4,flatbuffers,25.12.19,85882,28382,416,114264,11643.883468,35233.598760,8751.662816,2638,1.00,1,c4a54cdecc67,267,265,dataclass,,76,12
python,bytes,document,100,4,protobuf,7.35.1,2632,3417,155,6049,379939.209726,292654.375183,165316.581253,292,1.00,1,c4a54cdecc67,174,164,message,,77,13
python,bytes,document,100,4,json,python-3.14.0,14064,9265,448,23329,71103.526735,107933.081489,42865.103519,3200,1.00,1,c4a54cdecc67,229,235,dict,,78,14
python,bytes,document,100,4,avro,1.12.2,18367,9765,114,28132,54445.472859,102406.554019,35546.708375,1121,1.00,1,c4a54cdecc67,137,123,dict,,79,15
python,bytes,document,100,5,rapidjson,1.23,5769,6710,448,12479,173340.266944,149031.296572,80134.626172,2663,1.00,1,c4a54cdecc67,229,235,dict,,80,0
python,bytes,document,100,5,protobuf,7.35.1,1530,2166,155,3696,653594.771242,461680.517082,270562.770563,292,1.00,1,c4a54cdecc67,174,164,message,,81,1
python,bytes,document,100,5,msgspec-msgpack,0.21.1,1641,2036,129,3677,609384.521633,491159.135560,271960.837639,1310,1.00,1,c4a54cdecc67,149,138,struct,,82,2
python,bytes,document,100,5,cbor2,6.1.3,16158,6927,332,23085,61888.847630,144362.638949,43318.171973,3497,1.00,1,c4a54cdecc67,220,224,dict,,83,3
python,bytes,document,100,5,pydantic,2.13.4,9353,16310,448,25663,106917.566556,61312.078479,38966.605619,5757,1.00,1,c4a54cdecc67,229,235,model,,84,4
python,bytes,document,100,5,msgpack,1.2.1,3912,4999,325,8911,255623.721881,200040.008002,112220.850634,1028,1.00,1,c4a54cdecc67,228,232,dict,,85,5
