Tests performed 100 times for each TestData + Serializer pair
################################################################################

Test Data: Person
Serializer:               Ops/sec Avg:  Ser      Deser   Ser+Deser  Size: Avg
NFX.Slim              Stream          5,086     10,982      3,456     22,503
MS XmlSerializer      string          9,885      5,004      3,306     58,506
MS XmlSerializer      Stream          8,728      4,932      3,138     58,488
NFX.Slim              string          4,846      7,675      2,956     30,004
fastJson              string          8,535      4,290      2,844     34,351
fastJson              Stream          8,638      4,226      2,816     34,351
MS JavaScript         string          2,128      1,439        855     25,259
MS JavaScript         Stream          2,073      1,460        851     25,259
JsonFx                string          5,648         58         58     25,234
JsonFx                Stream          5,469         56         55     25,234



Test Data: MsgBatching
Serializer:               Ops/sec Avg:  Ser      Deser   Ser+Deser  Size: Avg
===============================================================================
NetSerializer         Stream         17,153     19,212      9,023     35,556
WireSerializer        Stream         10,828     14,706      6,213     36,176
NetSerializer         string         11,321      7,686      4,553     47,408
WireSerializer        string          7,055      7,101      3,300     48,236
NFX.Slim              Stream          3,688      7,210      2,265     37,982
FsPickler             string          4,373      4,719      2,247     57,320
NFX.Slim              string          3,945      5,027      2,202     50,644
fastJson              string          5,960      3,099      2,031     69,494
fastJson              Stream          5,108      2,807      1,806     69,494
MS XmlSerializer      string          4,315      2,344      1,511    115,871
MS XmlSerializer      Stream          3,961      2,304      1,449    115,853
ServiceStack Json     string          3,813      1,856      1,242     79,325
MS DataContract       Stream          5,114      1,640      1,234    102,439
ServiceStack Json     Stream          3,729      1,837      1,226     79,325
MS Binary             Stream          2,213      2,751      1,221     43,722
MS DataContract       string          3,752      1,533      1,084    136,588
MS DataContract Json  Stream          3,308      1,549      1,052     80,521
MS Binary             string          2,019      2,199      1,048     58,296
MS DataContract Json  string          2,804      1,275        872    107,364
FsPicklerJson         string          2,048      1,216        720    122,620
