Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,StreamMode,RunOrder,SchedulePosition
c,bytes,document,100,6,yyjson,0.10.0,4675,2103,460,6778,213903.743316,475511.174513,147536.146356,0,1.0,1,c4a54cdecc67,,116,2
c,bytes,document,100,6,custom-binary,v2-1.0,210,119,207,329,4761904.761905,8403361.344538,3039513.677812,0,1.0,1,c4a54cdecc67,,117,3
c,bytes,document,100,6,parson,1.5.3,18831,7377,460,26208,53103.924380,135556.459265,38156.288156,0,1.0,1,c4a54cdecc67,,118,4
c,bytes,document,100,6,qcbor,1.5.1,2819,6402,343,9221,354735.721887,156201.187129,108448.107581,0,1.0,1,c4a54cdecc67,,119,5
c,bytes,document,100,6,libbson,1.27.5,5281,3025,577,8306,189358.076122,330578.512397,120394.895256,0,1.0,1,c4a54cdecc67,,120,6
c,bytes,document,100,6,json-c,0.15,10444,9826,460,20270,95748.755266,101770.812131,49333.991120,0,1.0,1,c4a54cdecc67,,121,7
c,bytes,document,100,6,tinycbor,0.6.0,1072,5944,343,7016,932835.820896,168236.877524,142531.356899,0,1.0,1,c4a54cdecc67,,122,8
c,bytes,document,100,6,protobuf-wire,wire-v2,600,337,166,937,1666666.666667,2967359.050445,1067235.859125,0,1.0,1,c4a54cdecc67,,123,9
c,bytes,document,100,6,mpack,1.1,788,2037,335,2825,1269035.532995,490918.016691,353982.300885,0,1.0,1,c4a54cdecc67,,124,10
c,bytes,document,100,6,cJSON,1.7.18,6830,4869,460,11699,146412.884334,205380.981721,85477.391230,0,1.0,1,c4a54cdecc67,,125,11
c,bytes,document,100,6,avro-c,1.11.3,619,523,210,1142,1615508.885299,1912045.889101,875656.742557,0,1.0,1,c4a54cdecc67,,126,12
c,bytes,document,100,6,msgpack-c,6.0.1,1243,2232,335,3475,804505.229284,448028.673835,287769.784173,0,1.0,1,c4a54cdecc67,,127,13
c,bytes,document,100,6,protobuf-c,1.5.0,667,307,166,974,1499250.374813,3257328.990228,1026694.045175,0,1.0,1,c4a54cdecc67,,128,14
c,bytes,document,100,6,nanopb,0.4.9,620,308,166,928,1612903.225806,3246753.246753,1077586.206897,0,1.0,1,c4a54cdecc67,,129,15
c,bytes,document,100,6,zcbor,0.9,1404,7439,354,8843,712250.712251,134426.670251,113083.795092,0,1.0,1,c4a54cdecc67,,130,16
c,bytes,document,100,6,cbor-encode,0.11.0,6825,5887,457,12712,146520.146520,169865.806013,78665.827565,0,1.0,1,c4a54cdecc67,,131,17
c,bytes,document,100,6,flatcc,0.6.1,549,118,236,667,1821493.624772,8474576.271186,1499250.374813,0,1.0,1,c4a54cdecc67,,132,18
c,bytes,document,100,7,json-c,0.15,8138,10829,460,18967,122880.314574,92344.630160,52723.150735,0,1.0,1,c4a54cdecc67,,133,0
