StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser
string,Telemetry,1,0,SharpYaml,995168,1447083,2575,2442251,10,6,4
string,Telemetry,1,0,Apex.Serialization,1084215,1336113,1508,2420328,9,7,4
Stream,Telemetry,1,0,MS Binary,41004,36928,1363,77932,243,270,128
Stream,Telemetry,1,0,MS Bond Compact,28010,18729,915,46739,357,533,213
Stream,Telemetry,1,0,MS Bond Fast,14611,12341,937,26952,684,810,371
Stream,Telemetry,1,0,MS Bond Json,42280,62267,2176,104547,236,160,95
Stream,Telemetry,1,0,MS DataContract,66510,97637,4515,164147,150,102,60
Stream,Telemetry,1,0,MS DataContract Json,53989,98698,2186,152687,185,101,65
Stream,Telemetry,1,0,MS XmlSerializer,71505,120800,4583,192305,139,82,52
Stream,Telemetry,1,0,fastJson,46266,64078,2334,110344,216,156,90
Stream,Telemetry,1,0,Jil,30843,47314,2181,78157,324,211,127
Stream,Telemetry,1,0,Json.Net (Helper),98531,113695,2201,212226,101,87,47
Stream,Telemetry,1,0,Json.Net,47623,71056,2202,118679,209,140,84
Stream,Telemetry,1,0,FsPickler,115061,43511,1064,158572,86,229,63
Stream,Telemetry,1,0,FsPicklerJson,94367,122670,2469,217037,105,81,46
Stream,Telemetry,1,0,NetJSON,49773,34436,2185,84209,200,290,118
Stream,Telemetry,1,0,ProtoBuf,22789,24456,1009,47245,438,408,211
Stream,Telemetry,1,0,ServiceStack Json,81869,90317,2186,172186,122,110,58
Stream,Telemetry,1,0,ServiceStack Type,84121,75385,2167,159506,118,132,62
Stream,Telemetry,1,0,Ceras,36032,112312,960,148344,277,89,67
Stream,Telemetry,1,0,Hyperion,24648,14477,990,39125,405,690,255
Stream,Telemetry,1,0,NetSerializer,7287,7046,1004,14333,1372,1419,697
Stream,Telemetry,1,0,SpanJson,14789002,1409640,2191,16198642,0,7,0
Stream,Telemetry,1,0,Utf8Json,52813,72311,2191,125124,189,138,79
Stream,Telemetry,1,0,YamlDotNet,829572,459120,2376,1288692,12,21,7
